1,1,1,Yubraj,Khadka,Yubraj Khadka,6/15/1996,,110,,113,121,apfYubraj Khadka.jpeg,,,,,,createdDate,createdBy
2,2,1,Santosh,Shrestha,Santosh Shrestha,8/4/1988,,110,,113,121,apfSantosh Shrestha.jpeg,,,,,,12/16/2019,Admin
3,3,1,Shyam Kumar,Nepali,Shyam Kumar Nepali,9/13/1992,,110,,113,121,apfShyam K 113i.jpeg,,,,,,12/16/2019,Admin
4,4,1,Ram Kumar,Kumal,Ram Kumar Kumal,9/10/1994,,110,141,113,121,apfRam K Kumal.jpeg,,,,,,12/16/2019,Admin
5,5,1,Amrit Kumar,Chaudhary,Amrit Kumar Chaudhary,1/18/1993,,110,139,113,121,apfAmrit K Chaudhary.jpeg,,,,,,12/16/2019,Admin
6,6,1,Prabin Kumar,Syangtan,Prabin Kumar Syangtan,3/15/1993,,110,142,113,121,apfPrabin K Syangtan.jpeg,1,,,,,12/16/2019,Admin
7,7,1,Sudip,Shikhrakar,Sudip Shikhrakar,9/21/1989,,110,140,113,121,apfSudip Shikhrakar.jpeg,,,,,,12/16/2019,Admin
8,8,1,Milan,Rai,Milan Rai,11/4/1980,,110,,113,121,apfMilan Rai.jpeg,,,,,,12/16/2019,Admin
9,9,1,Nabin ,Lama,Nabin  Lama,3/25/1992,,110,141,113,121,apfNabin Lama.jpeg,,,,,,12/16/2019,Admin
10,10,1,Hari,Karki,Hari Karki,11/16/1993,,110,,113,121,apfHari Karki.jpeg,,,,,,12/16/2019,Admin
11,11,1,Bikey,Tamang,Bikey Tamang,6/25/1993,,110,,113,121,apfBikey Tamang.jpeg,,,,,,12/16/2019,Admin
12,12,1,Birendra Prakash,Yadav,Birendra Prakash Yadav,11/9/1997,,110,,113,121,apfBirendra P Yadav.jpeg,,,,,,12/16/2019,Admin
13,13,1,Raju,Yogi,Raju Yogi,11/18/1986,,110,,113,121,apfRaju Yogi.jpeg,,,,,,12/16/2019,Admin
14,14,1,Ramesh,Dangal,Ramesh Dangal,2/5/1988,,110,140,113,121,apfRamesh Dangal.jpeg,,,,,,12/16/2019,Admin
15,15,1,Rajiv,Lopchan,Rajiv Lopchan,4/2/2002,,110,141,113,121,apfRajiv Lopchan.jpeg,,,,,,12/16/2019,Admin
16,16,1,Biswas,Udas,Biswas Udas,1/16/2000,,110,,113,121,apfBiswas Udas.jpeg,,,,,,12/16/2019,Admin
17,17,1,Niraj,Chaudhary,Niraj Chaudhary,7/21/2002,,110,,113,121,apfNiraj Chaudhary.jpeg,,,,,,12/16/2019,Admin
18,18,1,Top Bahadur,Bista (Captain),Top Bahadur Bista (Captain),2/13/1988,,110,140,113,121,apfTop B Bista.jpeg,,,,,,12/16/2019,Admin
19,19,1,Santosh Kumar,Katuwal,Santosh Kumar Katuwal,1/27/1993,,110,,113,121,apfSantosh K Katuwal.jpeg,,,,,,12/16/2019,Admin
20,20,1,Raman,Rasaili,Raman Rasaili,8/23/1994,,110,,113,121,apfRaman Rasaili.jpeg,,,,,,12/16/2019,Admin
21,21,1,Aashish,Lama,Aashish Lama,12/1/1996,,110,141,113,121,apfAashish Lama.jpeg,,1,,,,12/16/2019,Admin
22,22,1,Rabi,Thing,Rabi Thing,9/3/1996,,110,,113,121,apfRabi Thing.jpeg,,,,,,12/16/2019,Admin
23,23,1,Rajan,Gurung,Rajan Gurung,4/15/2000,,110,140,113,121,apfRajan Gurung.jpeg,,,,,,12/16/2019,Admin
24,24,1,Buddhiman,Rai,Buddhiman Rai,3/23/1998,,110,141,113,121,apfBuddhiman Rai.jpeg,,,,,,12/16/2019,Admin
25,25,1,Pradip,Lama,Pradip Lama,10/1/1998,,110,,113,121,apfPradip Lama.jpeg,,,,,,12/16/2019,Admin
26,26,1,Akash,Budha Magar,Akash Budha Magar,2/14/2002,,110,,113,121,apfAkash Budha Magar.jpeg,,,,,,12/16/2019,Admin
27,27,1,Prakash,Pun,Prakash Pun,5/26/2000,,110,,113,121,apfPrakash Pun.jpeg,,,,,,12/16/2019,Admin
28,28,1,Rohit,Thapa,Rohit Thapa,11/4/1992,,110,,113,121,apfRohit Thapa.jpeg,,,,,,12/16/2019,Admin
29,29,1,Mani Kumar,Lama,Mani Kumar Lama,3/24/1996,,110,,113,121,apfMani K Lama.jpeg,,,,,,12/16/2019,Admin
30,30,1,Man Bahadur,Rana Magar,Man Bahadur Rana Magar,11/22/1993,,110,,113,121,apfMan B Rana Magar.jpeg,,,,,,12/16/2019,Admin
31,31,1,Amit,Lama,Amit Lama,11/21/1999,,110,,113,121,apfAmit Lama.jpeg,,,,,,12/16/2019,Admin
32,32,1,Bikash,Lama,Bikash Lama,7/23/1997,,110,,113,121,apfBikash Lama.jpeg,,,,,,12/16/2019,Admin
33,33,2,Birjesh,Chaudhary,Birjesh Chaudhary,7/9/2002,,110,142,113,121,bbcBirjesh Chaudhary.jpeg,,,,,,12/16/2019,Admin
34,34,2,Jeevan,Bhattarai,Jeevan Bhattarai,3/30/2000,,110,139,113,121,bbcJeevan Bhattarai.jpeg,,,,,,12/16/2019,Admin
35,35,2,Anjal,Maharjan,Anjal Maharjan,2/4/2002,,110,140,113,121,bbcAnjal Maharjan.jpeg,,,,,,12/16/2019,Admin
36,36,2,Dipenk,Raj Singh,Dipenk Raj Singh,9/30/1996,,110,140,113,121,bbcDipenk R Singh.jpeg,,,,,,12/16/2019,Admin
37,37,2,Jaya,Gurung,Jaya Gurung,11/30/2002,,110,141,113,121,bbcJaya Gurung.jpeg,1,,,,,12/16/2019,Admin
38,38,2,Manoj,Rai,Manoj Rai,3/16/1995,,110,140,113,121,bbcManoj Rai.jpeg,,1,,,,12/16/2019,Admin
39,39,2,Padam,Bhattarai,Padam Bhattarai,1/8/2002,,110,140,113,121,bbcPadam Bhattarai.jpeg,,,,,,12/16/2019,Admin
40,40,2,Rajat,Tiwari,Rajat Tiwari,7/11/2001,,110,141,113,121,bbcRajat Tiwari.jpeg,,,,,,12/16/2019,Admin
41,41,2,Ritik Kumar,Khadka,Ritik Kumar Khadka,4/23/2001,,110,141,113,121,bbcRitik K Khadka.jpeg,,,,,,12/16/2019,Admin
42,42,2,Roshan,Dong,Roshan Dong,9/13/2002,,110,140,113,121,bbcRoshan Dong.jpeg,,,,,,12/16/2019,Admin
43,43,2,Roshan,Rana Magar,Roshan Rana Magar,10/19/2002,,110,141,113,121,bbcRoshan Rana Magar.jepg,1,,,,,12/16/2019,Admin
44,44,2,Bishal,Sunar,Bishal Sunar,2/9/2002,,110,139,113,121,bbcBishal Sunar.jpeg,,,1,,,12/16/2019,Admin
45,45,2,Prithivi,Chaudhary,Prithivi Chaudhary,4/4/2002,,110,140,113,121,bbcPrithivi Chaudhary.jpeg,,1,,,,12/16/2019,Admin
46,46,2,Subit,Karki,Subit Karki,8/30/1994,,110,140,113,121,bbcSubit Karki.jpeg,,,,,,12/16/2019,Admin
47,47,2,Raju,Shrestha,Raju Shrestha,4/17/1999,,110,142,113,121,bbcRaju Shrestha.jpeg,,,,,,12/16/2019,Admin
48,48,2,Bijay,Gurung,Bijay Gurung,10/11/1985,,110,141,113,121,bbcBijaya Gurung.jpeg,,,,,,12/16/2019,Admin
49,49,2,Rabindra,Basnet,Rabindra Basnet,1/12/1991,,110,140,113,121,bbcRabindra Basnet.jpeg,,,,,,12/16/2019,Admin
50,50,2,Tajudeen Adekunle,Busari,Tajudeen Adekunle Busari,12/3/1991,,110,140,120,121,bbcTajudeen A Busari.jpeg,,,,,,12/16/2019,Admin
51,51,2,Randip,Paudel,Randip Paudel,10/6/2002,,110,140,113,121,bbcRandip Paudel.jpeg,,,,,1,12/16/2019,Admin
52,52,2,Shishir,Lekhi,Shishir Lekhi,1/27/2002,,110,141,113,121,bbcShishir Lekhi.jpeg,,,,,,12/16/2019,Admin
53,53,2,Anil,Gurung (Captain),Anil Gurung (Captain),9/17/1986,,110,142,113,121,bbcAnil Gurung.jpeg,,,,,,12/16/2019,Admin
54,54,2,Uttam,Gurung,Uttam Gurung,1/11/1991,,110,141,113,121,bbcUttam Gurung.jpeg,,,,,,12/16/2019,Admin
55,55,3,Junichi,Ozawa,Junichi Ozawa,8/18/1991,,110,,113,121,cycJunichi Ozawa.jpeg,,,,,,12/16/2019,Admin
56,56,3,Hayato,Wakino,Hayato Wakino,4/10/1993,,110,142,113,121,cycHayto Wakino.jpeg,,,,,1,12/16/2019,Admin
57,57,3,Taiga,Nakamura,Taiga Nakamura,9/22/1995,,110,140,113,121,cycTaiga Nakamura.jpeg,,,,,,12/16/2019,Admin
58,58,3,Sanjaya,Rajbahak,Sanjaya Rajbahak,3/29/1994,,110,140,113,121,cycSanjaya RajBahak.jpeg,,1,,,,12/16/2019,Admin
59,59,3,Abishek,Baral,Abishek Baral,4/9/2000,,110,139,113,121,cycAbishek Baral.jpeg,,,,,,12/16/2019,Admin
60,60,3,Sunil,Bal,Sunil Bal,1/1/1998,,110,141,113,121,cycSunil Bal.jpeg,,,,,,12/16/2019,Admin
61,61,3,Alan,Neupane,Alan Neupane,6/24/1996,,110,139,113,121,cycAlan Neupane.jpeg,,,1,,,12/16/2019,Admin
62,62,3,Jenish,Prajapati,Jenish Prajapati,9/21/2000,,110,142,113,121,cycJenish Prajapati.jpeg,,,,,,12/16/2019,Admin
63,63,3,Purna Bahadur,Gurung,Purna Bahadur Gurung,2/24/1998,,110,,113,121,cycPurna B Gurung .jpeg,,,,,,12/16/2019,Admin
64,64,3,Dinesh,Rajbanshi,Dinesh Rajbanshi,4/4/1998,,110,140,113,121,cycDinesh Rajbhanshi.jpeg,,,,,,12/16/2019,Admin
65,65,3,Nitin,Thapa,Nitin Thapa,2/7/2002,,110,141,113,121,cycNitin Thapa.jpeg,,,,,,12/16/2019,Admin
66,66,3,Susan,Lama,Susan Lama,9/21/2000,,110,,113,121,cycSusan Lama .jpeg,,,,,,12/16/2019,Admin
67,67,3,Karma,Sherpa,Karma Sherpa,12/27/2002,,110,,113,121,cycKarma Sherpa.jpeg,,,,,,12/16/2019,Admin
68,68,3,Abishek,Limbu,Abishek Limbu,12/13/1994,,110,140,113,121,cycAbishek Limbu.jpeg,,,,,,12/16/2019,Admin
69,69,3,Amir,Shrestha,Amir Shrestha,12/30/1991,,110,141,113,121,cycAmir Shrestha.jpeg,,1,,,1,12/16/2019,Admin
70,70,3,Chetan,Kumar Tharu,Chetan Kumar Tharu,2/17/1991,,110,,113,121,cycChetan K Tharu.jpeg,,,,,,12/16/2019,Admin
71,71,3,Gaurab,Budhathoki,Gaurab Budhathoki,2/14/1998,,110,140,113,121,cycGaurab Budhathoki.jpeg,,,,,,12/16/2019,Admin
72,72,3,Hemant,Thapa Magar,Hemant Thapa Magar,1/7/1998,,110,141,113,121,cycHemant T Magar.jpeg,,,,,,12/16/2019,Admin
73,73,3,Narendra,Chaudhary,Narendra Chaudhary,5/18/1997,,110,140,113,121,cycNarendra Chaudhary.jpeg,,,,,,12/16/2019,Admin
74,74,3,Santosh,Mahat,Santosh Mahat,1/21/2002,,110,140,113,121,cycSantosh Mahat .jpeg,,,,,,12/16/2019,Admin
75,75,3,Santosh,Shahukhala (Captiain),Santosh Shahukhala (Captiain),1/10/1988,,110,142,113,121,cycSantosh Shahukhala.jpeg,3,,,,,12/16/2019,Admin
76,76,3,Sunil,Khadka,Sunil Khadka,11/7/1994,,110,,113,121,cycSunil Khadka.jpeg,,,,,,12/16/2019,Admin
77,77,3,Sunny,Byanjankar,Sunny Byanjankar,4/20/2001,,110,,113,121,cycSunny Byanjankar.jpeg,,,,,,12/16/2019,Admin
78,78,3,Tshring,Gurung,Tshring Gurung,2/21/1998,,110,,113,121,cycTshring Gurung.jpeg,,,,,,12/16/2019,Admin
79,79,3,Sushil Kumar,Yadav,Sushil Kumar Yadav,10/5/1998,,110,,113,121,cycSushil K Yadav.jpeg,,,,,,12/16/2019,Admin
80,80,4,Prezen,Tamang,Prezen Tamang,7/14/2000,,110,,113,121,fcPrezen Tamang.jpeg,,,,,,12/16/2019,Admin
81,81,4,Sojit,Gurung,Sojit Gurung,1/28/2000,,110,139,113,121,fcSojit Gurung.jpeg,,,,,,12/16/2019,Admin
82,82,4,Aashish,Kc,Aashish Kc,1/1/2000,,110,,113,121,fcAashish Kc.jpeg,,,,,,12/16/2019,Admin
83,83,4,Asim,Bhusal,Asim Bhusal,3/14/2002,,110,,113,121,fcAsim Bhusal.jpeg,,,,,,12/16/2019,Admin
84,84,4,Bikash,Lama,Bikash Lama,5/30/1996,,110,142,113,121,fcBikash Lama.jpeg,,,,,,12/16/2019,Admin
85,85,4,Felipe Martins De,Sauza,Felipe Martins De Sauza,12/26/1977,Sao Paulo,110,141,120,121,fcFelipe D M  Sauza.jpeg,,,,,1,12/16/2019,Admin
86,86,4,Dev,Limbu,Dev Limbu,2/28/1998,,110,139,113,121,fcDev Limbu.jpeg,,,,,,12/16/2019,Admin
87,87,4,Rumesh,Bartaula,Rumesh Bartaula,3/7/2000,,110,142,113,121,fcRumesh Bartaula.jpeg,,,,,,12/16/2019,Admin
88,88,4,Sanish,Shrestha,Sanish Shrestha,11/9/2000,,110,140,113,121,fcSanish Shrestha.jpeg,,,,,,12/16/2019,Admin
89,89,4,Sanjog,Maharjan,Sanjog Maharjan,5/8/1995,,110,142,113,121,fcSanjog Maharjan.jpeg,,,,,,12/16/2019,Admin
90,90,4,Saroj,Yonjan Lama,Saroj Yonjan Lama,11/17/1993,,110,140,113,121,fcSaroj Y Lama.jpeg,,,,,,12/16/2019,Admin
91,91,4,Sudans,Mahato,Sudans Mahato,8/7/1998,,110,,113,121,fcSudans Mahato.jpeg,,,,,,12/16/2019,Admin
92,92,4,Shakti,Rai,Shakti Rai,9/21/1990,,110,142,113,121,fcShakti Rai.jpeg,1,,,,,12/16/2019,Admin
93,93,4,Raj,Kandangwa,Raj Kandangwa,3/21/1994,,110,141,113,121,fcRaj Kandangwa.jpeg,,,,,,12/16/2019,Admin
94,94,4,Yadu,Silwal,Yadu Silwal,8/12/1998,,110,142,113,121,fcYadu Silwal.jpeg,,,,,,12/16/2019,Admin
95,95,4,Nisen,Subba,Nisen Subba,3/27/2003,,110,142,113,121,fcNisen Subba.jpeg,,,,,,12/16/2019,Admin
96,96,4,Sujan,Pulami,Sujan Pulami,1/18/2002,,110,140,113,121,fcSujan Pulami.jpeg,,,,,,12/16/2019,Admin
97,97,4,Mahesh,Shah,Mahesh Shah,2/11/2003,,110,142,113,121,fcMahesh Shah.jpeg,,,,,,12/16/2019,Admin
98,98,4,Ajit,Magar,Ajit Magar,3/4/2000,,110,140,113,121,fcAjit Magar.jpeg,,,,,,12/16/2019,Admin
99,99,4,Bicky,Thapa,Bicky Thapa,7/6/1989,,110,141,113,121,fcBicky Thapa.jpeg,,,,,,12/16/2019,Admin
100,100,4,Bishow,Adhikari,Bishow Adhikari,5/2/1993,,110,141,113,121,fcBishow Adhikari.jpeg,,,,,,12/16/2019,Admin
101,101,4,Anil,Maharjan,Anil Maharjan,4/9/2002,,110,141,113,121,fcAnil Maharjan.jpeg,,,,,,12/16/2019,Admin
102,102,5,Khamir Glison,Kandangwa,Khamir Glison Kandangwa,3/6/1993,,110,,113,121,hycKhamir G Kandangwa.jpeg,,,,,,12/16/2019,Admin
103,103,5,Rabi,Thapa Magar,Rabi Thapa Magar,2/23/1993,,110,,113,121,hycRabi T Magar.jpeg,,,,,,12/16/2019,Admin
104,104,5,Kshitiz,Khadka,Kshitiz Khadka,3/23/1997,,110,,113,121,hycKshitiz Khadka.jpeg,,,,,,12/16/2019,Admin
105,105,5,Kailash,Basnet,Kailash Basnet,2/17/2000,,110,,113,121,hycKailash Basnet.jpeg,,,,,,12/16/2019,Admin
106,106,5,Chiring,Tamang Lama,Chiring Tamang Lama,4/7/2002,,110,,113,121,hycChiring T Lama.jpeg,,,,,,12/16/2019,Admin
107,107,5,Ashish,Gurung,Ashish Gurung,4/15/1996,,110,,113,121,hycAshish Gurung.jpeg,,1,,,,12/16/2019,Admin
108,108,5,Kishor,Giri,Kishor Giri,12/14/1995,,110,139,113,121,hycKishor Giri.jpeg,,1,,,,12/16/2019,Admin
109,109,5,Bishwash,Shrestha,Bishwash Shrestha,4/10/1997,,110,,113,121,hycBishwash Shrestha.jpeg,,,,,,12/16/2019,Admin
110,110,5,Diwash,Urau,Diwash Urau,8/23/1998,,110,,113,121,hycDiwash Urau.jpeg,,,,,,12/16/2019,Admin
111,111,5,Niraj,Basnet,Niraj Basnet,9/20/1995,,110,,113,121,hycNiraj Basnet.jpeg,,,,,,12/16/2019,Admin
112,112,5,Bikash,Rai,Bikash Rai,12/12/1988,,110,,113,121,hycBikash Rai.jpeg,,,,,,12/16/2019,Admin
113,113,5,Binod,Gurung,Binod Gurung,5/14/1996,,110,,113,121,hycBinod Gurung.jpeg,,,,,,12/16/2019,Admin
114,114,5,Chop Bahadur,Uchai,Chop Bahadur Uchai,2/21/2000,,110,,113,121,hycChop B Uchai.jpeg,,,,,,12/16/2019,Admin
115,115,5,Abhimanyu,Poudel,Abhimanyu Poudel,12/30/2000,,110,,113,121,hycAbhimanyu Poudel.jpeg,,,,,,12/16/2019,Admin
116,116,5,Suraj,Hamal,Suraj Hamal,1/2/1997,,110,,113,121,hycSuraj Hamal.jpeg,,,,,,12/16/2019,Admin
117,117,5,Ulrich,Siewe,Ulrich Siewe,2/17/1996,,110,,120,121,hycUlrich Siewe.jpeg,,,,,2,12/16/2019,Admin
118,118,5,Stephane Samir Dieu Beni,Binong,Stephane Samir Dieu Beni Binong,8/7/1997,,110,,113,121,hycStephane S D B Binong.jpeg,,,,,S,12/16/2019,Admin
119,119,5,Sunil,Lama,Sunil Lama,6/11/2000,,110,,113,121,hycSunil Lama.jpeg,,,,,,12/16/2019,Admin
120,120,5,Nirajan,Gurung,Nirajan Gurung,5/18/1994,,110,,113,121,hycNirajan Gurung.jpeg,,,,,,12/16/2019,Admin
121,121,5,Bishal,Shrestha,Bishal Shrestha,8/13/2000,,110,,113,121,hycBishal Shrestha.jpeg,,,,,,12/16/2019,Admin
